table,column,sqlite_type,postgresql_type,shared
supplier_payments,external_reference,TEXT,text,yes
supplier_payments,notes,TEXT,text,yes
supplier_payments,status,TEXT,text,yes
supplier_payments,cancelled_at,INTEGER,timestamptz,yes
supplier_payments,device_id,TEXT,uuid,yes
supplier_payments,operation_id,TEXT,uuid,yes
supplier_payments,created_at,INTEGER,timestamptz,yes
supplier_payments,updated_at,INTEGER,timestamptz,yes
supplier_payments,version,INTEGER,bigint,yes
supplier_return_items,id,TEXT,uuid,yes
supplier_return_items,store_id,TEXT,uuid,yes
supplier_return_items,supplier_return_id,TEXT,uuid,yes
supplier_return_items,product_id,TEXT,uuid,yes
supplier_return_items,product_unit_id,TEXT,uuid,yes
supplier_return_items,quantity_milli,INTEGER,bigint,yes
supplier_return_items,conversion_factor_num,INTEGER,integer,yes
supplier_return_items,conversion_factor_den,INTEGER,integer,yes
supplier_return_items,base_quantity_milli,INTEGER,bigint,yes
supplier_return_items,unit_cost_minor,INTEGER,bigint,yes
supplier_return_items,line_total_minor,INTEGER,bigint,yes
supplier_return_items,inventory_movement_id,TEXT,uuid,yes
supplier_return_items,created_at,INTEGER,timestamptz,yes
supplier_return_items,updated_at,INTEGER,timestamptz,yes
supplier_return_items,version,INTEGER,bigint,yes
supplier_return_settlements,id,TEXT,uuid,yes
supplier_return_settlements,store_id,TEXT,uuid,yes
supplier_return_settlements,supplier_return_id,TEXT,uuid,yes
supplier_return_settlements,settlement_type,TEXT,text,yes
supplier_return_settlements,amount_minor,INTEGER,bigint,yes
supplier_return_settlements,money_account_id,TEXT,uuid,yes
supplier_return_settlements,money_movement_id,TEXT,uuid,yes
supplier_return_settlements,supplier_ledger_entry_id,TEXT,uuid,yes
supplier_return_settlements,created_at,INTEGER,timestamptz,yes
supplier_returns,id,TEXT,uuid,yes
supplier_returns,store_id,TEXT,uuid,yes
supplier_returns,supplier_id,TEXT,uuid,yes
supplier_returns,purchase_invoice_id,TEXT,uuid,yes
supplier_returns,accounting_period_id,TEXT,uuid,yes
supplier_returns,display_number,TEXT,text,yes
supplier_returns,return_at,INTEGER,timestamptz,yes
supplier_returns,total_minor,INTEGER,bigint,yes
supplier_returns,status,TEXT,text,yes
supplier_returns,notes,TEXT,text,yes
supplier_returns,cancelled_at,INTEGER,timestamptz,yes
supplier_returns,device_id,TEXT,uuid,yes
supplier_returns,operation_id,TEXT,uuid,yes
supplier_returns,created_at,INTEGER,timestamptz,yes
supplier_returns,updated_at,INTEGER,timestamptz,yes
supplier_returns,version,INTEGER,bigint,yes
suppliers,id,TEXT,uuid,yes
suppliers,store_id,TEXT,uuid,yes
suppliers,name,TEXT,text,yes
suppliers,normalized_name,TEXT,text,yes
suppliers,phone,TEXT,text,yes
suppliers,normalized_phone,TEXT,text,yes
suppliers,notes,TEXT,text,yes
suppliers,status,TEXT,text,yes
suppliers,archived_at,INTEGER,timestamptz,yes
suppliers,device_id,TEXT,uuid,yes
suppliers,operation_id,TEXT,uuid,yes
suppliers,created_at,INTEGER,timestamptz,yes
suppliers,updated_at,INTEGER,timestamptz,yes
suppliers,version,INTEGER,bigint,yes
